"player_api_id","player_name","overall_rating","gk_rating","appearances","league_no"
"1",2625,"Patryk Rachwal,18",63,111,90,1
"2",2752,"Diego Mainz",72,48,81,1
"3",2768,"Jose Dorado",75,64,71,1
"4",2770,"Ignacio Gonzalez",74,60,16,2
"5",2790,"Alberto Rey",73,144,50,1
"6",2796,"Javier Jimenez",69,340,1,1
"7",2802,"Pablo Hernandez",82,54,144,2
"8",2805,"Ruben Perez",76,56,131,1
"9",2857,"Ivan Perez",72,143,3,1
"10",2862,"Vicente Sanchez",76,146,17,1
"11",2907,"Gregory Lacombe",68,42,6,1
"12",2973,"Ugur Inceman",72,143,16,1
"13",2977,"David Rivas Rodriguez",82,93,5,1
"14",2983,"Jorge Molina",75,50,71,1
"15",2984,"Sergio Aragones",75,364,38,1
"16",3140,"Alexandre Hauw",69,136,42,1
"17",3204,"Marat Izmailov",81,53,42,1
"18",3263,"Kelly Berville",67,115,19,1
"19",3264,"Abdelmalek Cherrad",62,98,1,1
"20",3316,"Oscar Sanchez",71,107,6,1
"21",3329,"Vincent Euvrard",64,54,85,1
"22",3377,"Luca Belingheri",72,46,1,1
"23",3441,"Aleksander Radosavljevic",71,62,74,1
"24",3512,"Peter Halmosi",75,143,4,1
"25",3517,"Alexandr Kerzhakov",82,63,17,1
"26",3520,"Andrey Arshavin",86,55,70,1
"27",4747,"Lee Wilkie",73,128,36,1
"28",4863,"Boban Grncarov",66,54,25,1
"29",4902,"Iriney",77,40,68,1
"30",4939,"Tim Clancy",64,59,97,1
"31",4999,"Sebastian Olszar",59,43,49,1
"32",5016,"Ibrahim Sidibe",65,50,69,1
"33",5044,"Jeroen Verhoeven",68,344,21,1
"34",5047,"Wilko de Vogt",61,305,10,1
"35",5063,"Sander Duits",68,61,106,1
"36",5184,"Gudmundur Steinarsson",62,108,5,1
"37",5192,"Manuel Silas",72,146,52,1
"38",5202,"Remy Gomis",73,56,163,1
"39",5217,"Laurent Batlles",77,123,102,1
"40",5223,"Raffaele Rubino",63,52,7,1
"41",5233,"Iban Javier Cuadrado",73,132,18,1
"42",5243,"Julio Alvarez",76,149,38,1
"43",5247,"Perez Richi",67,118,16,1
"44",5272,"Gary Coulibaly",68,48,27,1
"45",5362,"Ifet Taljevic,23",60,121,24,1
"46",5440,"Marjan Petkovic",67,332,5,1
"47",5468,"Freddy Mombongo-Dues",62,48,7,1
"48",5610,"Yann Jouffre",75,50,141,1
"49",5629,"Bertrand Robert",73,101,3,1
"50",5631,"Jeremy Blayac",68,41,13,1
"51",5662,"Dimitri Bulykin",73,50,45,1
"52",5686,"Gerry Koning",65,138,28,1
"53",5687,"Rowin van Zaanen",66,52,20,1
"54",5693,"Kees Kwakman",71,50,119,1
"55",5700,"Charles Dissels",65,132,3,1
"56",5703,"Otman Bakkal",75,147,74,1
"57",5710,"Diederik Boer",70,339,53,1
"58",6757,"Denis Dessaer",60,42,1,1
"59",6771,"Oliver Vinamont",60,51,22,1
"60",6798,"Roel van Hemert",60,55,14,1
"61",6800,"Jonas Ivens",68,40,93,2
"62",6803,"Brecht Verbrugghe",63,143,16,1
"63",6824,"Pedro Kamata",72,45,1,1
"64",6853,"Fabian Vargas",76,169,18,1
"65",6864,"Santiago Acasiete",75,59,65,1
"66",6911,"Fabian Canobbio",77,99,38,1
"67",7099,"Toni Lehtinen",60,123,1,1
"68",7206,"Sebastian Sorsa",61,48,2,1
"69",7226,"Roni Porokara",69,143,16,1
"70",7284,"Kasper Haemaelaeinen",72,50,81,1
"71",7334,"Anssi Jaakkola",63,310,12,1
"72",7604,"Tom van Hyfte",67,64,33,1
"73",7616,"Kristian Nushi",63,133,97,1
"74",7621,"Anthony Favre",60,300,51,1
"75",7627,"Thierno Bah",63,39,55,1
"76",7628,"Tibert Pont",57,41,27,1
"77",7663,"Jerome Schneider",55,49,36,1
"78",7681,"Josip Colina",59,128,49,1
"79",7683,"Alessandro Iandoli",66,49,57,1
"80",8777,"Michele Polverino",60,57,31,1
"81",8780,"Marco Perez",73,42,3,1
"82",8784,"Stefan Nater",58,49,87,1
"83",8800,"Thomas Reinmann",63,63,117,1
"84",8837,"Angelo Raso",57,40,43,1
"85",8840,"Cristian Florin Ianu",66,52,60,1
"86",8881,"Marco Padalino",75,143,38,2
"87",8893,"Antoine Rey",65,61,31,1
"88",8922,"Nikica Jelavic",78,40,120,2
"89",8925,"Ryan Thomson",52,49,11,1
"90",8930,"Hrvoje Cale",72,114,17,1
"91",8932,"Dino Drpic",72,108,15,1
