"team_name","team_api_id.x","build_up_play","chance_creation","defence","team_api_id.y","total_goals"
"1","1. FC Kaiserslautern",8350,147,131,139,8350,72
"2","1. FC Köln",8722,147,131,139,8722,226
"3","1. FC Nürnberg",8165,147,131,139,8165,193
"4","1. FSV Mainz 05",9905,147,131,139,9905,320
"5","AC Ajaccio",8576,147,131,139,8576,116
"6","AC Arles-Avignon",108893,147,131,139,108893,21
"7","AC Bellinzona",6493,147,131,139,6493,128
"8","ADO Den Haag",10217,147,131,139,10217,366
"9","AJ Auxerre",8583,147,131,139,8583,168
"10","AS Monaco",9829,147,131,139,9829,287
"11","AS Nancy-Lorraine",8481,147,131,139,8481,203
"12","AS Saint-Étienne",9853,147,131,139,9853,371
"13","AZ",10229,147,131,139,10229,492
"14","Aberdeen",8485,147,131,139,8485,365
"15","Académica de Coimbra",10215,147,131,139,10215,240
"16","Ajax",8593,147,131,139,8593,647
"17","Amadora",10213,147,131,139,10213,26
"18","Angers SCO",8121,147,131,139,8121,40
"19","Arka Gdynia",8322,NA,154,150,8322,77
"20","Arsenal",9825,147,131,139,9825,573
"21","Aston Villa",10252,147,131,139,10252,335
"22","Atalanta",8524,147,131,139,8524,283
"23","Athletic Club de Bilbao",8315,147,131,139,8315,415
"24","Atlético Madrid",9906,147,131,139,9906,524
"25","BSC Young Boys",10192,147,131,139,10192,529
"26","Bari",9976,147,131,139,9976,76
"27","Bayer 04 Leverkusen",8178,147,131,139,8178,483
"28","Beerschot AC",9993,147,131,139,9993,174
"29","Birmingham City",8658,147,131,139,8658,75
"30","Blackburn Rovers",8655,147,131,139,8655,175
"31","Blackpool",8483,147,131,139,8483,55
"32","Boavista FC",8613,147,131,139,8613,51
"33","Bologna",9857,147,131,139,9857,263
"34","Bolton Wanderers",8559,147,131,139,8559,181
"35","Borussia Dortmund",9789,147,131,139,9789,551
"36","Borussia Mönchengladbach",9788,147,131,139,9788,403
"37","Bournemouth",8678,147,131,139,8678,45
"38","Brescia",9858,147,131,139,9858,34
"39","Burnley",8191,147,131,139,8191,70
"40","CA Osasuna",8371,147,131,139,8371,232
"41","CD Nacional",10214,147,131,139,10214,332
"42","CD Numancia",8388,147,131,139,8388,38
"43","CD Tenerife",9867,147,131,139,9867,40
"44","CF Os Belenenses",9807,147,131,139,9807,148
"45","CS Marítimo",10212,147,131,139,10212,316
"46","Cagliari",8529,147,131,139,8529,309
"47","Cardiff City",8344,147,131,139,8344,32
"48","Carpi",208931,147,131,139,208931,37
"49","Catania",8530,147,131,139,8530,251
"50","Celtic",9925,147,131,139,9925,695
"51","Cesena",9880,147,131,139,9880,98
"52","Chelsea",8455,147,131,139,8455,583
"53","Chievo Verona",8533,147,131,139,8533,285
"54","Club Brugge KV",8342,147,131,139,8342,421
"55","Cracovia",2186,NA,165,150,2186,235
"56","Crystal Palace",9826,147,131,139,9826,119
"57","Córdoba CF",7869,147,131,139,7869,22
"58","DSC Arminia Bielefeld",9912,147,131,139,9912,29
"59","De Graafschap",8526,147,131,139,8526,130
"60","Dijon FCO",9836,147,131,139,9836,38
"61","Dundee FC",8284,147,131,139,8284,127
"62","Dundee United",9938,147,131,139,9938,438
"63","Dunfermline Athletic",8457,147,131,139,8457,40
"64","ES Troyes AC",10242,147,131,139,10242,71
"65","Eintracht Braunschweig",9776,147,131,139,9776,29
"66","Eintracht Frankfurt",9810,147,131,139,9810,296
"67","Elche CF",10268,147,131,139,10268,65
"68","Empoli",8534,147,131,139,8534,86
"69","En Avant de Guingamp",9747,147,131,139,9747,122
"70","Estoril Praia",7842,147,131,139,7842,167
"71","Everton",8668,147,131,139,8668,439
"72","Excelsior",10218,147,131,139,10218,154
"73","FC Aarau",9930,147,131,139,9930,153
"74","FC Arouca",158085,147,131,139,158085,101
"75","FC Augsburg",8406,147,131,139,8406,201
"76","FC Barcelona",8634,147,131,139,8634,849
"77","FC Basel",9931,147,131,139,9931,619
"78","FC Bayern Munich",9823,147,131,139,9823,653
"79","FC Dordrecht",6631,147,131,139,6631,24
"80","FC Energie Cottbus",8398,147,131,139,8398,30
"81","FC Groningen",8674,147,131,139,8674,390
"82","FC Ingolstadt 04",8234,147,131,139,8234,33
"83","FC Lausanne-Sports",7730,147,131,139,7730,99
"84","FC Lorient",8689,147,131,139,8689,378
"85","FC Luzern",10199,147,131,139,10199,421
"86","FC Metz",8550,147,131,139,8550,31
"87","FC Nantes",9830,147,131,139,9830,135
"88","FC Paços de Ferreira",6403,147,131,139,6403,292
"89","FC Penafiel",6547,147,131,139,6547,29
"90","FC Porto",9773,147,131,139,9773,541
"91","FC Schalke 04",10189,147,131,139,10189,426
"92","FC Sion",10179,147,131,139,10179,371
"93","FC Sochaux-Montbéliard",9874,147,131,139,9874,246
"94","FC St. Gallen",10190,147,131,139,10190,276
"95","FC St. Pauli",8152,147,131,139,8152,35
"96","FC Thun",10191,147,131,139,10191,279
"97","FC Twente",8611,147,131,139,8611,509
"98","FC Utrecht",9908,147,131,139,9908,408
"99","FC Vaduz",9824,147,131,139,9824,100
"100","FC Volendam",6601,147,131,139,6601,38
"101","FC Zürich",10243,147,131,139,10243,468
"102","FCV Dender EH",7947,147,131,139,7947,44
"103","Falkirk",8596,147,131,139,8596,68
"104","Feirense",4064,147,131,139,4064,27
"105","Feyenoord",10235,147,131,139,10235,489
"106","Fiorentina",8535,147,131,139,8535,440
"107","Fortuna Düsseldorf",8194,147,131,139,8194,39
"108","Frosinone",9891,147,131,139,9891,35
"109","Fulham",9879,147,131,139,9879,265
"110","GFC Ajaccio",6391,147,131,139,6391,37
"111","GKS Bełchatów",8569,175,160,108,8569,190
"112","Genoa",10233,147,131,139,10233,392
"113","Getafe CF",8305,147,131,139,8305,345
"114","Gil Vicente FC",9764,147,131,139,9764,110
"115","Girondins de Bordeaux",9827,147,131,139,9827,404
"116","Go Ahead Eagles",6433,147,131,139,6433,74
"117","Granada CF",7878,147,131,139,7878,179
"118","Grasshopper Club Zürich",9956,147,131,139,9956,429
"119","Grenoble Foot 38",9855,147,131,139,9855,55
"120","Górnik Łęczna",8019,147,131,139,8019,61
"121","Hamburger SV",9790,147,131,139,9790,344
"122","Hamilton Academical FC",8429,147,131,139,8429,185
"123","Hannover 96",9904,147,131,139,9904,359
"124","Heart of Midlothian",9860,147,131,139,9860,317
"125","Hellas Verona",9876,147,131,139,9876,145
"126","Heracles Almelo",9791,147,131,139,9791,403
"127","Hertha BSC Berlin",8177,147,131,139,8177,238
"128","Hibernian",10251,147,131,139,10251,259
"129","Hull City",8667,147,131,139,8667,144
"130","Hércules Club de Fútbol",10278,147,131,139,10278,36
"131","Inter",8636,147,131,139,8636,496
"132","Inverness Caledonian Thistle",8066,147,131,139,8066,345
"133","Jagiellonia Białystok",1957,140,163,158,1957,287
"134","Juventus",9885,147,131,139,9885,543
"135","KAA Gent",9991,147,131,139,9991,390
"136","KAS Eupen",6351,NA,157,155,6351,28
"137","KRC Genk",9987,147,131,139,9987,348
"138","KSV Cercle Brugge",9984,147,131,139,9984,213
"139","KSV Roeselare",9999,147,131,139,9999,62
"140","KV Kortrijk",8571,147,131,139,8571,267
"141","KV Mechelen",8203,147,131,139,8203,285
"142","KV Oostende",8573,NA,200,162,8573,102
"143","KVC Westerlo",10001,NA,150,140,10001,217
"144","Karlsruher SC",8295,147,131,139,8295,30
"145","Kilmarnock",8597,147,131,139,8597,346
"146","Korona Kielce",8245,NA,184,153,8245,237
"147","LOSC Lille",8639,147,131,139,8639,450
"148","Lazio",8543,147,131,139,8543,417
"149","Le Havre AC",9746,147,131,139,9746,30
"150","Le Mans FC",8682,147,131,139,8682,79
"151","Lecce",9888,147,131,139,9888,121
"152","Lech Poznań",2182,NA,150,140,2182,372
"153","Lechia Gdańsk",8030,147,131,139,8030,279
"154","Legia Warszawa",8673,147,131,139,8673,409
"155","Leicester City",8197,147,131,139,8197,114
"156","Leixões SC",6421,147,131,139,6421,55
"157","Levante UD",8581,147,131,139,8581,241
"158","Lierse SK",9989,140,163,158,9989,113
"159","Liverpool",8650,147,131,139,8650,531
"160","Livorno",8537,147,131,139,8537,66
"161","Lugano",7896,147,131,139,7896,46
"162","Manchester City",8456,147,131,139,8456,606
"163","Manchester United",10260,147,131,139,10260,582
"164","Middlesbrough",8549,147,131,139,8549,28
"165","Milan",8564,147,131,139,8564,496
"166","Montpellier Hérault SC",10249,147,131,139,10249,344
"167","Moreirense FC",8348,147,131,139,8348,101
"168","Motherwell",9927,147,131,139,9927,403
"169","Málaga CF",9864,147,131,139,9864,377
"170","N.E.C.",8464,147,131,139,8464,310
"171","NAC Breda",9761,147,131,139,9761,294
"172","Napoli",9875,147,131,139,9875,514
"173","Naval 1° de Maio",9809,147,131,139,9809,71
"174","Neuchâtel Xamax",7955,147,131,139,7955,171
"175","Newcastle United",10261,147,131,139,10261,324
"176","Norwich City",9850,147,131,139,9850,160
"177","Novara",6269,147,131,139,6269,34
"178","OGC Nice",9831,147,131,139,9831,342
"179","Odra Wodzisław",8242,NA,135,160,8242,50
"180","Olympique Lyonnais",9748,147,131,139,9748,497
"181","Olympique de Marseille",8592,147,131,139,8592,462
"182","Oud-Heverlee Leuven",1773,NA,165,150,1773,126
"183","P. Warszawa",2183,147,131,139,2183,184
"184","PEC Zwolle",6413,147,131,139,6413,204
"185","PSV",8640,147,131,139,8640,652
"186","Palermo",8540,147,131,139,8540,351
"187","Paris Saint-Germain",9847,147,131,139,9847,568
"188","Parma",10167,147,131,139,10167,272
"189","Partick Thistle F.C.",8426,147,131,139,8426,135
"190","Pescara",9878,147,131,139,9878,27
"191","Piast Gliwice",8028,NA,157,155,8028,204
"192","Podbeskidzie Bielsko-Biała",8033,147,131,139,8033,169
"193","Pogoń Szczecin",8023,147,131,139,8023,152
"194","Polonia Bytom",8020,147,131,139,8020,245
"195","Portimonense",9765,147,131,139,9765,29
"196","Portsmouth",8462,147,131,139,8462,72
"197","Queens Park Rangers",10172,147,131,139,10172,115
"198","RAEC Mons",9998,147,131,139,9998,129
"199","RC Celta de Vigo",9910,147,131,139,9910,184
"200","RC Deportivo de La Coruña",9783,147,131,139,9783,241
"201","RC Lens",8588,147,131,139,8588,107
"202","RC Recreativo",8479,147,131,139,8479,34
"203","RCD Espanyol",8558,147,131,139,8558,338
"204","RCD Mallorca",8661,147,131,139,8661,238
"205","RKC Waalwijk",10219,147,131,139,10219,153
"206","RSC Anderlecht",8635,147,131,139,8635,427
"207","Racing Santander",8696,147,131,139,8696,160
"208","Rangers",8548,147,131,139,8548,324
"209","Rayo Vallecano",8370,147,131,139,8370,247
"210","Reading",9798,147,131,139,9798,43
"211","Real Betis Balompié",8603,147,131,139,8603,225
"212","Real Madrid CF",8633,147,131,139,8633,843
"213","Real Sociedad",8560,147,131,139,8560,316
"214","Real Sporting de Gijón",9869,147,131,139,9869,200
"215","Real Valladolid",10281,147,131,139,10281,170
"216","Real Zaragoza",8394,147,131,139,8394,159
"217","Reggio Calabria",8690,147,131,139,8690,30
"218","Rio Ave FC",7841,147,131,139,7841,248
"219","Roda JC Kerkrade",9803,147,131,139,9803,343
"220","Roma",8686,147,131,139,8686,530
"221","Ross County FC",8649,147,131,139,8649,192
"222","Royal Excel Mouscron",274581,NA,166,154,274581,71
"223","Ruch Chorzów",1601,147,131,139,1601,280
"224","S.C. Olhanense",2033,147,131,139,2033,138
"225","SC Bastia",7794,147,131,139,7794,165
"226","SC Beira Mar",10211,147,131,139,10211,93
"227","SC Braga",10264,147,131,139,10264,398
"228","SC Cambuur",7788,147,131,139,7788,119
"229","SC Freiburg",8358,147,131,139,8358,245
"230","SC Heerenveen",10228,147,131,139,10228,470
"231","SC Paderborn 07",8460,147,131,139,8460,31
"232","SD Eibar",8372,147,131,139,8372,83
"233","SL Benfica",9772,147,131,139,9772,568
"234","SM Caen",7819,147,131,139,7819,220
"235","SV Darmstadt 98",8262,147,131,139,8262,38
"236","SV Werder Bremen",8697,147,131,139,8697,423
"237","SV Zulte-Waregem",10000,147,131,139,10000,306
"238","Sampdoria",9882,147,131,139,9882,318
"239","Sassuolo",7943,147,131,139,7943,141
"240","Servette FC",9777,147,131,139,9777,77
"241","Sevilla FC",8302,147,131,139,8302,478
"242","Siena",8551,147,131,139,8551,149
"243","Sint-Truidense VV",9997,NA,154,150,9997,115
